id,funded_amount,loan_amount,activity,sector,country_code,country,region,currency,posted_time,disbursed_time,funded_time,term_in_months,repayment_interval,date,Gender,funded_year
801257,700.0,700.0,Fruits & Vegetables,Food,EG,Egypt,Baniswef,EGP,2014-11-19,2014-11-13,2014-12-04,14.0,monthly,2014-11-19,male,2014
801206,700.0,700.0,Cattle,Agriculture,EG,Egypt,Baniswef,EGP,2014-11-19,2014-11-13,2014-12-03,14.0,monthly,2014-11-19,male,2014
801183,575.0,575.0,Cattle,Agriculture,EG,Egypt,Baniswef,EGP,2014-11-19,2014-11-13,2014-12-03,14.0,monthly,2014-11-19,male,2014
801279,700.0,700.0,Cattle,Agriculture,EG,Egypt,Baniswef,EGP,2014-11-19,2014-11-13,2014-12-03,14.0,monthly,2014-11-19,male,2014
801292,700.0,700.0,Beauty Salon,Services,EG,Egypt,Baniswef,EGP,2014-11-19,2014-11-13,2014-12-03,14.0,monthly,2014-11-19,female,2014
801244,700.0,700.0,Grocery Store,Food,EG,Egypt,Baniswef,EGP,2014-11-19,2014-11-13,2014-12-04,14.0,monthly,2014-11-19,male,2014
801285,150.0,150.0,Poultry,Agriculture,EG,Egypt,Baniswef,EGP,2014-11-19,2014-11-13,2014-12-03,14.0,monthly,2014-11-19,female,2014
801270,850.0,850.0,Poultry,Agriculture,EG,Egypt,Baniswef,EGP,2014-11-19,2014-11-13,2014-12-04,14.0,monthly,2014-11-19,male,2014
801250,700.0,700.0,Auto Repair,Services,EG,Egypt,Baniswef,EGP,2014-11-19,2014-11-13,2014-12-04,14.0,monthly,2014-11-19,male,2014
801232,700.0,700.0,Poultry,Agriculture,EG,Egypt,Baniswef,EGP,2014-11-19,2014-11-13,2014-12-04,14.0,monthly,2014-11-19,male,2014
801289,700.0,700.0,Clothing Sales,Clothing,EG,Egypt,Baniswef,EGP,2014-11-19,2014-11-13,2014-12-04,14.0,monthly,2014-11-19,male,2014
801252,1000.0,1000.0,Grocery Store,Food,EG,Egypt,Baniswef,EGP,2014-11-19,2014-11-13,2014-12-03,14.0,monthly,2014-11-19,female,2014
810531,700.0,700.0,Fruits & Vegetables,Food,EG,Egypt,Baniswef,EGP,2014-12-04,2014-12-13,2014-12-08,13.0,monthly,2014-12-04,male,2014
810558,700.0,700.0,Barber Shop,Services,EG,Egypt,Baniswef,EGP,2014-12-04,2014-11-13,2014-12-10,14.0,monthly,2014-12-04,male,2014
810587,425.0,425.0,Livestock,Agriculture,EG,Egypt,Baniswef,EGP,2014-12-04,2014-11-13,2014-12-08,14.0,monthly,2014-12-04,male,2014
810522,850.0,850.0,Electrical Goods,Retail,EG,Egypt,Baniswef,EGP,2014-12-04,2014-11-13,2014-12-08,14.0,monthly,2014-12-04,male,2014
810514,1400.0,1400.0,Cattle,Agriculture,EG,Egypt,Baniswef,EGP,2014-12-04,2014-11-13,2014-12-09,14.0,monthly,2014-12-04,female,2014
810561,700.0,700.0,Fruits & Vegetables,Food,EG,Egypt,Baniswef,EGP,2014-12-04,2014-11-13,2014-12-08,14.0,monthly,2014-12-04,male,2014
810540,1400.0,1400.0,Cattle,Agriculture,EG,Egypt,Baniswef,EGP,2014-12-04,2014-11-13,2014-12-10,14.0,monthly,2014-12-04,male,2014
810568,700.0,700.0,Poultry,Agriculture,EG,Egypt,Baniswef,EGP,2014-12-04,2014-11-13,2014-12-08,14.0,monthly,2014-12-04,female,2014
810588,700.0,700.0,Cattle,Agriculture,EG,Egypt,Baniswef,EGP,2014-12-04,2014-12-13,2014-12-09,13.0,monthly,2014-12-04,male,2014
810551,700.0,700.0,Grocery Store,Food,EG,Egypt,Baniswef,EGP,2014-12-04,2014-11-13,2014-12-09,14.0,monthly,2014-12-04,male,2014
810570,700.0,700.0,Poultry,Agriculture,EG,Egypt,Baniswef,EGP,2014-12-04,2014-11-13,2014-12-08,14.0,monthly,2014-12-04,female,2014
816600,700.0,700.0,Fruits & Vegetables,Food,EG,Egypt,Baniswef,EGP,2014-12-17,2014-12-22,2014-12-20,14.0,monthly,2014-12-17,male,2014
816551,1125.0,1125.0,Cattle,Agriculture,EG,Egypt,Baniswef,EGP,2014-12-17,2014-12-22,2014-12-20,14.0,monthly,2014-12-17,male,2014
